year,total,false
2002,2539,515
2003,666,127
2004,996,137
2005,1825,273
2006,3194,392
2007,3083,794
2008,3409,1330
2009,2170,1731
2010,2302,2139
2011,1597,1581
2012,1676,1658
2013,1762,1749
2014,2008,1967
2015,2634,2575
2016,3021,2978
2017,4564,4527
2018,4398,4380
2019,5081,5078
2020,6564,6561
2021,7163,7158
2022,2873,2871
